source,feature,source_column
acs_dp02,acs_dp02_dp02_0105m,dp02_0105m
acs_dp02,acs_dp02_dp02_0105pe,dp02_0105pe
acs_dp02,acs_dp02_dp02_0105pm,dp02_0105pm
acs_dp02,acs_dp02_dp02_0106e,dp02_0106e
acs_dp02,acs_dp02_dp02_0106m,dp02_0106m
acs_dp02,acs_dp02_dp02_0106pe,dp02_0106pe
acs_dp02,acs_dp02_dp02_0106pm,dp02_0106pm
acs_dp02,acs_dp02_dp02_0107e,dp02_0107e
acs_dp02,acs_dp02_dp02_0107m,dp02_0107m
acs_dp02,acs_dp02_dp02_0107pe,dp02_0107pe
